| end of split   1 /2751 | epoch   1 | time: 41.93s | valid loss 5.5842 | valid ppl 266.1744 | learning rate 0.1000
| end of split   2 /2751 | epoch   1 | time: 41.39s | valid loss 5.5594 | valid ppl 259.6788 | learning rate 0.1000
| end of split   3 /2751 | epoch   1 | time: 40.53s | valid loss 5.5512 | valid ppl 257.5526 | learning rate 0.1000
| end of split   4 /2751 | epoch   1 | time: 40.61s | valid loss 5.5429 | valid ppl 255.4251 | learning rate 0.1000
| end of split   5 /2751 | epoch   1 | time: 40.41s | valid loss 5.5347 | valid ppl 253.3367 | learning rate 0.1000
| end of split   6 /2751 | epoch   1 | time: 40.54s | valid loss 5.5265 | valid ppl 251.2590 | learning rate 0.1000
| end of split   7 /2751 | epoch   1 | time: 40.64s | valid loss 5.5182 | valid ppl 249.1931 | learning rate 0.1000
| end of split   8 /2751 | epoch   1 | time: 40.80s | valid loss 5.5015 | valid ppl 245.0697 | learning rate 0.1000
| end of split   9 /2751 | epoch   1 | time: 41.15s | valid loss 5.4853 | valid ppl 241.1190 | learning rate 0.1000
| end of split  10 /2751 | epoch   1 | time: 41.18s | valid loss 5.4683 | valid ppl 237.0532 | learning rate 0.1000
| end of split  11 /2751 | epoch   1 | time: 41.18s | valid loss 5.4511 | valid ppl 233.0166 | learning rate 0.1000
| end of split  12 /2751 | epoch   1 | time: 41.33s | valid loss 5.4338 | valid ppl 229.0259 | learning rate 0.1000
| end of split  13 /2751 | epoch   1 | time: 40.66s | valid loss 5.4251 | valid ppl 227.0335 | learning rate 0.1000
| end of split  14 /2751 | epoch   1 | time: 41.33s | valid loss 5.4162 | valid ppl 225.0326 | learning rate 0.1000
| end of split  15 /2751 | epoch   1 | time: 41.44s | valid loss 5.3896 | valid ppl 219.1131 | learning rate 0.1000
| end of split  16 /2751 | epoch   1 | time: 41.03s | valid loss 5.3713 | valid ppl 215.1451 | learning rate 0.1000
| end of split  17 /2751 | epoch   1 | time: 41.02s | valid loss 5.3536 | valid ppl 211.3645 | learning rate 0.1000
| end of split  18 /2751 | epoch   1 | time: 42.05s | valid loss 5.3251 | valid ppl 205.4265 | learning rate 0.1000
| end of split  19 /2751 | epoch   1 | time: 40.65s | valid loss 5.3154 | valid ppl 203.4453 | learning rate 0.1000
| end of split  20 /2751 | epoch   1 | time: 40.92s | valid loss 5.2958 | valid ppl 199.4916 | learning rate 0.1000
| end of split  21 /2751 | epoch   1 | time: 40.51s | valid loss 5.2858 | valid ppl 197.5193 | learning rate 0.1000
| end of split  22 /2751 | epoch   1 | time: 40.61s | valid loss 5.2758 | valid ppl 195.5393 | learning rate 0.1000
| end of split  23 /2751 | epoch   1 | time: 41.11s | valid loss 5.2552 | valid ppl 191.5661 | learning rate 0.1000
| end of split  24 /2751 | epoch   1 | time: 40.86s | valid loss 5.2342 | valid ppl 187.5876 | learning rate 0.1000
| end of split  25 /2751 | epoch   1 | time: 40.62s | valid loss 5.2236 | valid ppl 185.5952 | learning rate 0.1000
| end of split  26 /2751 | epoch   1 | time: 40.51s | valid loss 5.2128 | valid ppl 183.6006 | learning rate 0.1000
| end of split  27 /2751 | epoch   1 | time: 40.78s | valid loss 5.1908 | valid ppl 179.6147 | learning rate 0.1000
| end of split  28 /2751 | epoch   1 | time: 41.16s | valid loss 5.1685 | valid ppl 175.6439 | learning rate 0.1000
| end of split  29 /2751 | epoch   1 | time: 41.96s | valid loss 5.1571 | valid ppl 173.6594 | learning rate 0.1000
| end of split  30 /2751 | epoch   1 | time: 41.41s | valid loss 5.1338 | valid ppl 169.6619 | learning rate 0.1000
| end of split  31 /2751 | epoch   1 | time: 41.50s | valid loss 5.1218 | valid ppl 167.6398 | learning rate 0.1000
| end of split  32 /2751 | epoch   1 | time: 41.13s | valid loss 5.1097 | valid ppl 165.6136 | learning rate 0.1000
| end of split  33 /2751 | epoch   1 | time: 41.83s | valid loss 5.0848 | valid ppl 161.5412 | learning rate 0.1000
| end of split  34 /2751 | epoch   1 | time: 42.11s | valid loss 5.0591 | valid ppl 157.4446 | learning rate 0.1000
| end of split  35 /2751 | epoch   1 | time: 44.40s | valid loss 5.0460 | valid ppl 155.3939 | learning rate 0.1000
