| end of split   1 /500 | epoch   1 | time: 15.05s | valid loss 2.8404 | valid ppl 17.1226 | learning rate 20.0000
| end of split   2 /500 | epoch   1 | time: 15.43s | valid loss 2.4783 | valid ppl 11.9216 | learning rate 20.0000
| end of split   3 /500 | epoch   1 | time: 15.49s | valid loss 2.0962 | valid ppl 8.1355 | learning rate 20.0000
| end of split   4 /500 | epoch   1 | time: 15.04s | valid loss 1.9767 | valid ppl 7.2190 | learning rate 20.0000
| end of split   5 /500 | epoch   1 | time: 15.01s | valid loss 1.9774 | valid ppl 7.2241 | learning rate 20.0000
| end of split   6 /500 | epoch   1 | time: 15.28s | valid loss 2.0318 | valid ppl 7.6279 | learning rate 20.0000
| end of split   7 /500 | epoch   1 | time: 15.61s | valid loss 2.1566 | valid ppl 8.6416 | learning rate 20.0000
| end of split   8 /500 | epoch   1 | time: 13.21s | valid loss 2.1168 | valid ppl 8.3045 | learning rate 20.0000
| end of split   9 /500 | epoch   1 | time: 12.82s | valid loss 1.8345 | valid ppl 6.2619 | learning rate 20.0000
| end of split  10 /500 | epoch   1 | time: 12.82s | valid loss 1.9783 | valid ppl 7.2301 | learning rate 20.0000
| end of split  11 /500 | epoch   1 | time: 12.98s | valid loss 1.8358 | valid ppl 6.2704 | learning rate 20.0000
| end of split  12 /500 | epoch   1 | time: 12.92s | valid loss 1.8645 | valid ppl 6.4525 | learning rate 20.0000
| end of split  13 /500 | epoch   1 | time: 12.92s | valid loss 1.9500 | valid ppl 7.0284 | learning rate 20.0000
| end of split  14 /500 | epoch   1 | time: 13.04s | valid loss 1.8841 | valid ppl 6.5801 | learning rate 20.0000
| end of split  15 /500 | epoch   1 | time: 12.97s | valid loss 1.8113 | valid ppl 6.1182 | learning rate 20.0000
| end of split  16 /500 | epoch   1 | time: 12.87s | valid loss 1.9546 | valid ppl 7.0612 | learning rate 20.0000
| end of split  17 /500 | epoch   1 | time: 12.84s | valid loss 1.8761 | valid ppl 6.5277 | learning rate 20.0000
| end of split  18 /500 | epoch   1 | time: 13.22s | valid loss 1.7569 | valid ppl 5.7947 | learning rate 20.0000
| end of split  19 /500 | epoch   1 | time: 12.82s | valid loss 1.7293 | valid ppl 5.6364 | learning rate 20.0000
| end of split  20 /500 | epoch   1 | time: 13.08s | valid loss 1.7867 | valid ppl 5.9700 | learning rate 20.0000
| end of split  21 /500 | epoch   1 | time: 12.95s | valid loss 1.8053 | valid ppl 6.0819 | learning rate 20.0000
| end of split  22 /500 | epoch   1 | time: 13.02s | valid loss 1.8167 | valid ppl 6.1514 | learning rate 20.0000
| end of split  23 /500 | epoch   1 | time: 13.02s | valid loss 1.7746 | valid ppl 5.8979 | learning rate 20.0000
| end of split  24 /500 | epoch   1 | time: 13.25s | valid loss 1.8424 | valid ppl 6.3117 | learning rate 20.0000
| end of split  25 /500 | epoch   1 | time: 13.05s | valid loss 1.7395 | valid ppl 5.6945 | learning rate 20.0000
| end of split  26 /500 | epoch   1 | time: 13.06s | valid loss 1.6677 | valid ppl 5.2999 | learning rate 20.0000
| end of split  27 /500 | epoch   1 | time: 13.09s | valid loss 1.7950 | valid ppl 6.0197 | learning rate 20.0000
| end of split  28 /500 | epoch   1 | time: 12.76s | valid loss 1.6876 | valid ppl 5.4064 | learning rate 20.0000
| end of split  29 /500 | epoch   1 | time: 12.68s | valid loss 1.6661 | valid ppl 5.2913 | learning rate 20.0000
| end of split  30 /500 | epoch   1 | time: 12.81s | valid loss 1.7733 | valid ppl 5.8905 | learning rate 20.0000
| end of split  31 /500 | epoch   1 | time: 12.60s | valid loss 1.7262 | valid ppl 5.6193 | learning rate 20.0000
